Temperature_A	Temperature_C	Log_Pressure
155.002	155.001	8.82999e-08
155.002	155.001	8.82999e-08
155.003	155.002	8.82999e-08
155.002	155.001	8.82999e-08
155.001	155.002	8.82999e-08
155	155	8.82999e-08
155.004	154.999	8.82999e-08
155.001	155	8.82999e-08
155	155	8.82999e-08
155.002	155.002	8.82999e-08
155.002	155.002	8.82999e-08
155.002	155.001	8.82999e-08
155.002	155	8.82999e-08
155.003	155.001	8.82999e-08
155.004	155	8.82999e-08
155.004	155	8.82999e-08
155.002	155.001	8.82999e-08
155.003	155.002	8.82999e-08
155.004	155	8.82999e-08
155.004	155.002	8.82999e-08
155.004	155	8.82999e-08
155.003	155.002	8.82999e-08
155.002	155.001	8.82999e-08
155.001	155	8.82999e-08
155.002	155.002	8.82999e-08
155.002	155.001	8.82999e-08
155.004	155.001	8.82999e-08
155.002	155	8.82999e-08
155.001	155.001	8.82999e-08
155	155	8.82999e-08
155.002	155.001	8.82999e-08
155	155.001	8.82999e-08
155	155	8.82999e-08
155.001	155.001	8.82999e-08
155	155	8.82999e-08
155	154.999	8.82999e-08
155	155.001	8.82999e-08
155.002	154.999	8.82999e-08
155.002	154.999	8.85e-08
155.002	155	8.85e-08
155.003	154.999	8.85e-08
155.002	155.001	8.85e-08
155.005	155	8.82999e-08
155.004	155.001	8.82999e-08
155.003	155	8.82999e-08
155.004	155.001	8.82999e-08
155.002	155.001	8.82999e-08
155.004	155	8.82999e-08
155.003	154.999	8.82999e-08
155.002	155.001	8.82999e-08
155.003	154.999	8.82999e-08
155.002	155.002	8.82999e-08
155.001	155	8.82999e-08
155.002	154.998	8.82999e-08
155	155	8.82999e-08
155	154.999	8.82999e-08
155	155	8.82999e-08
154.999	154.999	8.82999e-08
154.998	155.001	8.82999e-08
154.997	155	8.82999e-08
154.997	154.999	8.82999e-08
154.996	155	8.82999e-08
154.999	154.999	8.82999e-08
154.999	154.999	8.82999e-08
154.998	155.002	8.82999e-08
154.997	154.999	8.82999e-08
154.997	154.998	8.82999e-08
154.996	154.999	8.82999e-08
154.999	154.999	8.82999e-08
154.999	155	8.82999e-08
154.999	155	8.82999e-08
154.999	155	8.82999e-08
154.998	155.001	8.80999e-08
155.001	155	8.80999e-08
155.002	155	8.80999e-08
154.998	155	8.80999e-08
154.998	154.999	8.80999e-08
155	155	8.80999e-08
154.998	155	8.80999e-08
154.997	154.999	8.80999e-08
154.999	154.998	8.80999e-08
154.998	154.999	8.80999e-08
154.998	154.999	8.80999e-08
154.996	155	8.80999e-08
154.999	155	8.80999e-08
154.998	154.999	8.80999e-08
154.996	155	8.80999e-08
154.995	154.999	8.78999e-08
154.997	154.999	8.78999e-08
154.998	154.999	8.78999e-08
154.998	154.999	8.78999e-08
154.996	154.999	8.78999e-08
155	155	8.78999e-08
154.999	154.997	8.78999e-08
154.996	155	8.78999e-08
154.997	154.999	8.78999e-08
154.998	154.999	8.76999e-08
154.998	154.999	8.78999e-08
154.998	154.999	8.76999e-08
154.997	155	8.76999e-08
154.999	155	8.76999e-08
154.996	155	8.76999e-08
154.997	155	8.76999e-08
154.998	155	8.76999e-08
154.998	155.001	8.76999e-08
154.998	155	8.76999e-08
154.997	155	8.76999e-08
154.999	155	8.76999e-08
154.997	154.999	8.76999e-08
154.997	155	8.76999e-08
154.998	155	8.76999e-08
154.998	155	8.76999e-08
155	155	8.76999e-08
154.999	154.999	8.76999e-08
154.998	154.999	8.76999e-08
154.998	154.998	8.76999e-08
154.998	155	8.76999e-08
154.998	155	8.76999e-08
154.998	155	8.76999e-08
154.998	155	8.76999e-08
154.996	154.999	8.76999e-08
154.997	155	8.76999e-08
154.998	155	8.76999e-08
154.998	154.998	8.76999e-08
154.998	155	8.76999e-08
154.998	155.002	8.76999e-08
154.999	155	8.78999e-08
154.999	155.001	8.76999e-08
155.003	155	8.78999e-08
155.002	155.003	8.78999e-08
155.003	155.001	8.78999e-08
155.003	155.001	8.78999e-08
155.004	155.002	8.78999e-08
155.003	155.003	8.78999e-08
155.004	155.001	8.78999e-08
155.005	155.001	8.78999e-08
155.004	155.001	8.78999e-08
155.003	155.002	8.78999e-08
155.006	155.003	8.78999e-08
155.007	155.003	8.78999e-08
155.006	155.002	8.78999e-08
155.006	155.002	8.78999e-08
155.007	155.001	8.78999e-08
155.005	155.002	8.78999e-08
155.005	155.002	8.78999e-08
155.004	155.002	8.78999e-08
155.004	155.002	8.78999e-08
155.007	155.002	8.76999e-08
155.006	155.001	8.78999e-08
155.008	155.002	8.76999e-08
155.004	155.001	8.76999e-08
155.003	155.002	8.76999e-08
155.003	155.004	8.76999e-08
155.005	155.001	8.76999e-08
155.003	155.001	8.76999e-08
155.003	155.001	8.76999e-08
155.001	155.001	8.76999e-08
155.002	155.002	8.76999e-08
155.002	155.003	8.76999e-08
155.001	154.998	8.76999e-08
155	155.002	8.76999e-08
155	155.001	8.76999e-08
155	155.002	8.76999e-08
155	155.001	8.76999e-08
154.998	155.002	8.76999e-08
154.999	155.002	8.76999e-08
154.998	155.001	8.76999e-08
154.999	155.003	8.76999e-08
154.999	155	8.76999e-08
154.999	155	8.76999e-08
155	155.001	8.76999e-08
154.998	155.001	8.76999e-08
154.997	155.003	8.76999e-08
154.998	154.998	8.76999e-08
154.997	155.001	8.76999e-08
154.998	155.003	8.76999e-08
154.998	155	8.76999e-08
154.998	155.002	8.75e-08
154.998	155	8.76999e-08
154.996	155.002	8.75e-08
154.998	155	8.75e-08
154.996	155.001	8.76999e-08
154.998	155.002	8.75e-08
154.999	155	8.75e-08
154.999	155	8.75e-08
155	155.001	8.75e-08
155	155	8.75e-08
154.997	155	8.75e-08
154.997	155	8.75e-08
154.998	155	8.75e-08
154.998	155	8.75e-08
154.996	155	8.75e-08
154.999	155.001	8.75e-08
154.996	154.999	8.75e-08
154.996	155	8.75e-08
154.998	154.999	8.75e-08
154.998	155	8.75e-08
154.996	154.999	8.75e-08
154.998	154.999	8.75e-08
154.998	154.998	8.75e-08
154.998	154.999	8.75e-08
154.998	154.999	8.75e-08
154.998	155	8.75e-08
154.998	155	8.75e-08
154.998	155.001	8.75e-08
154.997	154.999	8.75e-08
154.998	154.999	8.75e-08
154.998	154.998	8.75e-08
154.999	155	8.75e-08
154.998	155	8.75e-08
154.997	155	8.75e-08
154.997	155.001	8.75e-08
154.999	155	8.75e-08
154.999	154.999	8.75e-08
154.997	155.001	8.75e-08
154.997	155	8.75e-08
154.997	155.002	8.75e-08
154.997	155	8.75e-08
154.998	155.001	8.75e-08
154.999	154.999	8.75e-08
154.999	155	8.75e-08
154.997	155	8.75e-08
154.997	155	8.75e-08
155	155	8.75e-08
154.998	155.001	8.75e-08
154.999	155	8.75e-08
154.998	154.999	8.75e-08
154.998	155	8.75e-08
154.999	154.999	8.75e-08
154.998	155	8.75e-08
154.998	155	8.75e-08
154.999	155	8.75e-08
155	155.001	8.76999e-08
155	155	8.75e-08
154.999	154.999	8.75e-08
155	154.998	8.75e-08
155	154.998	8.75e-08
154.998	154.999	8.75e-08
154.998	154.999	8.75e-08
154.998	154.998	8.75e-08
154.999	154.998	8.75e-08
155	154.997	8.75e-08
155.001	154.999	8.75e-08
155	154.998	8.75e-08
155.002	154.997	8.75e-08
155.001	154.998	8.75e-08
155.003	155.001	8.75e-08
155.002	154.998	8.75e-08
155	154.998	8.75e-08
155.002	155	8.75e-08
155.004	154.999	8.75e-08
155.003	155	8.75e-08
155.003	155.001	8.75e-08
155.004	155.002	8.75e-08
155.005	155.002	8.75e-08
155.003	155.002	8.75e-08
155.003	155.002	8.75e-08
155.004	155.002	8.75e-08
155.005	155.002	8.75e-08
155.006	155.001	8.75e-08
155.004	155	8.75e-08
155.005	155.001	8.73e-08
155.005	155	8.73e-08
155.005	155	8.73e-08
155.003	155	8.73e-08
155.004	155.001	8.73e-08
155.005	155.001	8.73e-08
155.006	155.001	8.73e-08
155.005	155.001	8.73e-08
155.004	155.001	8.73e-08
155.004	155.002	8.73e-08
155.004	154.997	8.73e-08
155.003	155.002	8.73e-08
155.004	155.001	8.73e-08
155.004	155.001	8.73e-08
155.003	155.001	8.73e-08
155.004	155	8.73e-08
155.003	155.002	8.73e-08
155.003	155.001	8.73e-08
155.002	155	8.73e-08
155.003	155.001	8.73e-08
155.002	155.001	8.73e-08
155	155.002	8.73e-08
155.003	155.002	8.73e-08
155.002	155.001	8.73e-08
155.001	155	8.73e-08
155.002	155.001	8.71e-08
154.999	155.002	8.71e-08
155.001	155.001	8.71e-08
155.001	155	8.71e-08
155	154.999	8.71e-08
155	154.999	8.71e-08
154.999	155	8.71e-08
154.999	155.001	8.71e-08
154.999	155	8.71e-08
155.001	155	8.71e-08
155	155.002	8.71e-08
155	155.001	8.71e-08
154.997	155.002	8.71e-08
154.999	155.001	8.71e-08
154.998	155.001	8.71e-08
155	155.001	8.71e-08
154.998	155.001	8.71e-08
155.001	155.003	8.71e-08
155	155.001	8.71e-08
155	155.002	8.71e-08
154.998	155	8.71e-08
154.999	154.999	8.71e-08
155	155.002	8.71e-08
154.998	155.001	8.71e-08
155	154.999	8.71e-08
154.998	155.002	8.71e-08
155.002	155.001	8.73e-08
155.002	155.002	8.73e-08
155.003	155.002	8.71e-08
155.003	155.002	8.71e-08
155.005	155	8.71e-08
155.003	155.001	8.73e-08
155.004	155.002	8.71e-08
155.005	155.002	8.73e-08
155.003	155.002	8.71e-08
155.004	155.002	8.71e-08
155.005	155	8.73e-08
155.004	155.004	8.71e-08
155.006	155.002	8.71e-08
155.004	154.999	8.71e-08
155.006	155	8.73e-08
155.004	155.001	8.73e-08
