DateTime	Epoch_Time	Temperature_A	Temperature_C	Log_Pressure
07-Jun-2019 13:49:01	737583.575711262	293.573	294.073	1.03999
07-Jun-2019 13:49:02	737583.575722789	293.573	294.073	1.03999
07-Jun-2019 13:49:03	737583.57573434	293.574	294.074	1.03999
07-Jun-2019 13:49:04	737583.575745938	293.573	294.073	1.03999
07-Jun-2019 13:49:05	737583.575757523	293.574	294.073	1.03999
07-Jun-2019 13:49:06	737583.575769086	293.573	294.072	1.03999
07-Jun-2019 13:49:07	737583.57578066	293.573	294.072	1.03999
07-Jun-2019 13:49:08	737583.575792222	293.572	294.072	1.03999
07-Jun-2019 13:49:09	737583.575803808	293.573	294.073	1.03999
07-Jun-2019 13:49:10	737583.575815382	293.573	294.072	1.03999
07-Jun-2019 13:49:11	737583.575826944	293.573	294.072	1.03999
07-Jun-2019 13:49:12	737583.575838519	293.572	294.072	1.03999
07-Jun-2019 13:49:13	737583.575850104	293.574	294.073	1.03999
07-Jun-2019 13:49:14	737583.575861678	293.574	294.072	1.03999
07-Jun-2019 13:49:15	737583.575873252	293.573	294.072	1.03999
07-Jun-2019 13:49:16	737583.575884815	293.573	294.072	1.03999
07-Jun-2019 13:49:17	737583.575896389	293.575	294.073	1.03999
07-Jun-2019 13:49:18	737583.575907963	293.574	294.072	1.03999
07-Jun-2019 13:49:19	737583.575919549	293.573	294.072	1.03999
07-Jun-2019 13:49:20	737583.575931146	293.573	294.072	1.03999
07-Jun-2019 13:49:21	737583.575942685	293.574	294.074	1.03999
07-Jun-2019 13:49:22	737583.575954259	293.573	294.073	1.03999
07-Jun-2019 13:49:23	737583.575965833	293.575	294.072	1.03999
07-Jun-2019 13:49:24	737583.575977407	293.573	294.072	1.03999
07-Jun-2019 13:49:25	737583.575988982	293.573	294.072	1.03999
07-Jun-2019 13:49:26	737583.576000556	293.575	294.073	1.03999
07-Jun-2019 13:49:27	737583.57601213	293.573	294.072	1.03999
07-Jun-2019 13:49:28	737583.576023715	293.575	294.073	1.03999
07-Jun-2019 13:49:29	737583.576035278	293.574	294.072	1.03999
07-Jun-2019 13:49:30	737583.576046852	293.575	294.072	1.03999
07-Jun-2019 13:49:31	737583.576058426	293.573	294.072	1.03999
07-Jun-2019 13:49:32	737583.576070012	293.575	294.072	1.03999
07-Jun-2019 13:49:33	737583.576081586	293.574	294.073	1.03999
07-Jun-2019 13:49:34	737583.57609316	293.573	294.072	1.03999
07-Jun-2019 13:49:35	737583.576104734	293.574	294.072	1.03999
07-Jun-2019 13:49:36	737583.576116308	293.574	294.074	1.03999
07-Jun-2019 13:49:37	737583.576127882	293.574	294.072	1.03999
07-Jun-2019 13:49:38	737583.576139444	293.574	294.074	1.03999
07-Jun-2019 13:49:39	737583.576151018	293.573	294.073	1.03999
07-Jun-2019 13:49:40	737583.576162593	293.574	294.072	1.03999
07-Jun-2019 13:49:41	737583.576174167	293.574	294.073	1.03999
07-Jun-2019 13:49:42	737583.576185741	293.573	294.073	1.03999
07-Jun-2019 13:49:43	737583.576197303	293.574	294.072	1.03999
07-Jun-2019 13:49:44	737583.576208889	293.574	294.073	1.03999
07-Jun-2019 13:49:45	737583.576220486	293.574	294.073	1.03999
07-Jun-2019 13:49:46	737583.576232037	293.574	294.073	1.03999
07-Jun-2019 13:49:47	737583.576243611	293.574	294.072	1.03999
07-Jun-2019 13:49:48	737583.576255197	293.573	294.073	1.03999
07-Jun-2019 13:49:49	737583.576266759	293.573	294.073	1.03999
07-Jun-2019 13:49:50	737583.576278333	293.573	294.073	1.03999
07-Jun-2019 13:49:51	737583.576289919	293.573	294.072	1.03999
07-Jun-2019 13:49:52	737583.576301493	293.574	294.072	1.03999
07-Jun-2019 13:49:53	737583.576313056	293.573	294.072	1.03999
07-Jun-2019 13:49:54	737583.576324641	293.574	294.073	1.03999
07-Jun-2019 13:49:55	737583.576336215	293.573	294.072	1.03999
07-Jun-2019 13:49:56	737583.576347789	293.573	294.073	1.03999
07-Jun-2019 13:49:57	737583.576359363	293.573	294.073	1.03999
07-Jun-2019 13:49:58	737583.576370938	293.574	294.073	1.03999
07-Jun-2019 13:49:59	737583.576382512	293.574	294.073	1.03999
07-Jun-2019 13:50:00	737583.576394086	293.573	294.072	1.03999
07-Jun-2019 13:50:01	737583.57640566	293.572	294.072	1.03999
07-Jun-2019 13:50:02	737583.576417234	293.572	294.073	1.03999
07-Jun-2019 13:50:03	737583.576428808	293.573	294.072	1.03999
07-Jun-2019 13:50:04	737583.57644037	293.573	294.072	1.03999
07-Jun-2019 13:50:05	737583.576451944	293.573	294.072	1.03999
07-Jun-2019 13:50:06	737583.57646353	293.573	294.072	1.03999
07-Jun-2019 13:50:07	737583.576475104	293.573	294.073	1.03999
07-Jun-2019 13:50:08	737583.576486667	293.573	294.073	1.03999
07-Jun-2019 13:50:09	737583.576498241	293.574	294.072	1.03999
07-Jun-2019 13:50:10	737583.576509803	293.573	294.072	1.03999
07-Jun-2019 13:50:11	737583.5765214	293.573	294.072	1.03999
07-Jun-2019 13:50:12	737583.576532963	293.573	294.073	1.03999
07-Jun-2019 13:50:13	737583.576544537	293.573	294.073	1.03999
07-Jun-2019 13:50:14	737583.576556123	293.573	294.072	1.03999
07-Jun-2019 13:50:15	737583.576567697	293.574	294.072	1.03999
07-Jun-2019 13:50:16	737583.576579271	293.574	294.073	1.03999
07-Jun-2019 13:50:17	737583.576590833	293.573	294.073	1.03999
07-Jun-2019 13:50:18	737583.576602419	293.573	294.073	1.03999
07-Jun-2019 13:50:19	737583.576613982	293.573	294.072	1.03999
07-Jun-2019 13:50:20	737583.576625567	293.573	294.074	1.03999
07-Jun-2019 13:50:21	737583.57663713	293.573	294.073	1.03999
07-Jun-2019 13:50:22	737583.576648692	293.574	294.072	1.03999
07-Jun-2019 13:50:23	737583.576660289	293.575	294.072	1.03999
07-Jun-2019 13:50:24	737583.576671852	293.574	294.073	1.03999
07-Jun-2019 13:50:25	737583.576683437	293.573	294.073	1.03999
07-Jun-2019 13:50:26	737583.576695012	293.574	294.073	1.03999
07-Jun-2019 13:50:27	737583.576706551	293.574	294.073	1.03999
07-Jun-2019 13:50:28	737583.576720116	293.574	294.073	1.03999
07-Jun-2019 13:50:29	737583.576729734	293.575	294.073	1.03999
07-Jun-2019 13:50:30	737583.576741296	293.574	294.073	1.03999
07-Jun-2019 13:50:31	737583.57675287	293.575	294.073	1.03999
07-Jun-2019 13:50:32	737583.576764456	293.574	294.073	1.03999
07-Jun-2019 13:50:33	737583.57677603	293.573	294.074	1.03999
07-Jun-2019 13:50:34	737583.576787604	293.573	294.073	1.03999
07-Jun-2019 13:50:35	737583.576799178	293.574	294.072	1.03999
07-Jun-2019 13:50:36	737583.576810741	293.574	294.073	1.03999
07-Jun-2019 13:50:37	737583.576822315	293.574	294.073	1.03999
07-Jun-2019 13:50:38	737583.576833912	293.575	294.073	1.03999
07-Jun-2019 13:50:39	737583.576845475	293.572	294.073	1.03999
07-Jun-2019 13:50:40	737583.576857049	293.574	294.073	1.03999
07-Jun-2019 13:50:41	737583.576868611	293.575	294.073	1.03999
07-Jun-2019 13:50:42	737583.576880185	293.575	294.074	1.03999
07-Jun-2019 13:50:43	737583.576891759	293.574	294.073	1.03999
07-Jun-2019 13:50:44	737583.576903333	293.573	294.073	1.03999
07-Jun-2019 13:50:45	737583.576914907	293.574	294.073	1.03999
07-Jun-2019 13:50:46	737583.576926481	293.574	294.072	1.03999
07-Jun-2019 13:50:47	737583.576938056	293.572	294.073	1.03999
07-Jun-2019 13:50:48	737583.57694963	293.574	294.072	1.03999
07-Jun-2019 13:50:49	737583.576961204	293.574	294.073	1.03999
07-Jun-2019 13:50:50	737583.576972859	293.574	294.073	1.03999
07-Jun-2019 13:50:51	737583.576984468	293.573	294.072	1.03999
07-Jun-2019 13:50:52	737583.576996019	293.575	294.073	1.03999
07-Jun-2019 13:50:53	737583.577007546	293.574	294.074	1.03999
07-Jun-2019 13:50:54	737583.577019155	293.573	294.074	1.03999
07-Jun-2019 13:50:55	737583.577030718	293.574	294.074	1.03999
07-Jun-2019 13:50:56	737583.577042245	293.575	294.074	1.03999
07-Jun-2019 13:50:57	737583.577053866	293.574	294.073	1.03999
